case_id,scenario_id,question,expected_output_class,reference_answer,required_logical_sources,required_document_ids,required_pages_json,supporting_or_distractor_sources,persistent_permission,effective_use_decision,aggregate_k,expected_contributor_count,prohibited_disclosure_count,factual_atom_count,manual_validation_state,author_decision_id,decision_record_checks_passed,decision_reference_anchor_present,scenario_projection_contract_reference_consistent,source_pages_valid,runtime_reference_separated,status,mismatched_fields
S3-Q1,S3_TESCO_ORDERS_01,"Across my first three confirmed orders in 2026 that contained dairy milk, what was the average number of days between consecutive orders?",FULL_ANSWER,"The first three confirmed orders containing dairy milk were dated 5 January, 14 January, and 3 February 2026. The consecutive gaps were 9 days and 20 days, so the average interval was 14.5 days.",s3-tesco-order-01;s3-tesco-order-02;s3-tesco-order-04,39f0e9ea-029e-5f3c-a90c-9449ccfd35ed;3d214739-c58b-5936-a5bb-9e6ae1d0aa6f;33792129-5cf0-5a16-b9b9-2a2aee6d06cb,"{""s3-tesco-order-01"": [2], ""s3-tesco-order-02"": [2], ""s3-tesco-order-04"": [2]}",,Owner,Full,,,0,1,HUMAN_VALIDATED,HR-S3-001,True,True,True,True,True,PASS,
S3-Q2,S3_TESCO_ORDERS_01,"Across my first three confirmed orders in 2026 that contained dairy milk, what was the average number of days between consecutive orders?",AGGREGATE_RESULT,The average interval was 14.5 days.,s3-tesco-order-01;s3-tesco-order-02;s3-tesco-order-04,39f0e9ea-029e-5f3c-a90c-9449ccfd35ed;3d214739-c58b-5936-a5bb-9e6ae1d0aa6f;33792129-5cf0-5a16-b9b9-2a2aee6d06cb,{},,Aggregate,Aggregate,3,3,11,1,HUMAN_VALIDATED,HR-S3-001,True,True,True,True,True,PASS,
S3-Q3,S3_TESCO_ORDERS_01,How many litres of dairy milk were confirmed across the three January 2026 orders?,FULL_ANSWER,"The three January orders contained 2 litres, 1 litre, and 0 litres of dairy milk, for a total of 3 litres.",s3-tesco-order-01;s3-tesco-order-02;s3-tesco-order-03,39f0e9ea-029e-5f3c-a90c-9449ccfd35ed;3d214739-c58b-5936-a5bb-9e6ae1d0aa6f;be857caa-2703-5b5a-b4d2-c07da0454574,"{""s3-tesco-order-01"": [2], ""s3-tesco-order-02"": [2], ""s3-tesco-order-03"": [2]}",,Owner,Full,,,0,1,HUMAN_VALIDATED,HR-S3-002,True,True,True,True,True,PASS,
S3-Q4,S3_TESCO_ORDERS_01,How many litres of dairy milk were confirmed across the three January 2026 orders?,AGGREGATE_RESULT,The total confirmed quantity was 3 litres.,s3-tesco-order-01;s3-tesco-order-02;s3-tesco-order-03,39f0e9ea-029e-5f3c-a90c-9449ccfd35ed;3d214739-c58b-5936-a5bb-9e6ae1d0aa6f;be857caa-2703-5b5a-b4d2-c07da0454574,{},,Aggregate,Aggregate,3,3,9,1,HUMAN_VALIDATED,HR-S3-002,True,True,True,True,True,PASS,
S3-Q5,S3_TESCO_ORDERS_01,How many litres of dairy milk were confirmed across the three February 2026 orders?,FULL_ANSWER,"The three February orders contained 3 litres, 2 litres, and 0 litres of dairy milk, for a total of 5 litres.",s3-tesco-order-04;s3-tesco-order-05;s3-tesco-order-06,33792129-5cf0-5a16-b9b9-2a2aee6d06cb;6720e4d8-5ed9-515a-bbae-ba5132e7077f;aced3679-c5d9-5d51-afb1-bb04213a0dfa,"{""s3-tesco-order-04"": [2], ""s3-tesco-order-05"": [2], ""s3-tesco-order-06"": [2]}",,Owner,Full,,,0,1,HUMAN_VALIDATED,HR-S3-003,True,True,True,True,True,PASS,
S3-Q6,S3_TESCO_ORDERS_01,How many litres of dairy milk were confirmed across the three February 2026 orders?,AGGREGATE_RESULT,The total confirmed quantity was 5 litres.,s3-tesco-order-04;s3-tesco-order-05;s3-tesco-order-06,33792129-5cf0-5a16-b9b9-2a2aee6d06cb;6720e4d8-5ed9-515a-bbae-ba5132e7077f;aced3679-c5d9-5d51-afb1-bb04213a0dfa,{},,Aggregate,Aggregate,3,3,9,1,HUMAN_VALIDATED,HR-S3-003,True,True,True,True,True,PASS,
S3-Q7,S3_TESCO_ORDERS_01,Who consumed the dairy milk from order TCO-260105-A17?,REFUSE_INSUFFICIENT_EVIDENCE,"The order confirmation records what was ordered, but it does not identify who consumed the milk.",,,{},s3-tesco-order-01,Owner,Full,,,0,0,HUMAN_VALIDATED,HR-S3-004,True,True,True,True,True,PASS,
S3-Q8,S3_TESCO_ORDERS_01,"Across my current March 2026 orders, counting any reissued confirmation only once, how many litres of dairy milk were confirmed?",FULL_ANSWER,"The current reissued confirmation for order TCO-260306-G18 records 4 litres, and order TCO-260321-H07 records 2 litres. Counting the reissue once gives a total of 6 litres.",s3-tesco-order-08;s3-tesco-order-09,58a422df-7159-5a0c-9ddd-d2830ec604df;ee7fa511-01a0-53aa-9486-bec20152f047,"{""s3-tesco-order-08"": [2], ""s3-tesco-order-09"": [2]}",s3-tesco-order-07,Owner,Full,,,0,1,HUMAN_VALIDATED,HR-S3-005,True,True,True,True,True,PASS,
S3-Q9,S3_TESCO_ORDERS_01,"Across my current March 2026 orders, counting any reissued confirmation only once, how many litres of dairy milk were confirmed?",AGGREGATE_RESULT,The total confirmed quantity was 6 litres.,s3-tesco-order-08;s3-tesco-order-09,58a422df-7159-5a0c-9ddd-d2830ec604df;ee7fa511-01a0-53aa-9486-bec20152f047,{},s3-tesco-order-07,Aggregate,Aggregate,2,2,11,1,HUMAN_VALIDATED,HR-S3-005,True,True,True,True,True,PASS,
S3-Q10,S3_TESCO_ORDERS_01,"Which confirmation reissues the original confirmation for order TCO-260306-G18, and should the two files be counted as separate purchases?",FULL_ANSWER,s3-tesco-order-09 reissues the original s3-tesco-order-07 confirmation for order TCO-260306-G18. The two files represent the same purchase and must not be counted separately.,s3-tesco-order-07;s3-tesco-order-09,3c064985-8393-576c-b956-8a0cb1eee5ac;ee7fa511-01a0-53aa-9486-bec20152f047,"{""s3-tesco-order-07"": [2], ""s3-tesco-order-09"": [2]}",,Owner,Full,,,0,3,HUMAN_VALIDATED,HR-S3-006,True,True,True,True,True,PASS,
S4B-Q1,S4_TESCO_BANK_02,Did the bank charge for order CCA-260203-M18 match the confirmed amount?,FULL_ANSWER,"No. The order was confirmed at 7,240 HUF, while the bank posted 7,090 HUF, which is 150 HUF less.",s4b-cedarcart-order-03;s4b-bank-statement-feb,540b62d4-4203-5932-9b2e-f96172d1d46a;8256b66b-139c-5d7a-9b26-3deb9df83ded,"{""s4b-bank-statement-feb"": [2], ""s4b-cedarcart-order-03"": [1]}",,Owner,Full,,,0,3,HUMAN_VALIDATED,HR-S4-001,True,True,True,True,True,PASS,
S4B-Q2,S4_TESCO_BANK_02,"Across my February CedarCart Online orders, what was the overall net difference between the bank charges and the confirmed amounts, and how large were the discrepancies in total?",FULL_ANSWER,"One bank charge was 150 HUF below its confirmed amount and the other was 200 HUF above. The overall net difference was +50 HUF, and the total absolute discrepancy was 350 HUF.",s4b-cedarcart-order-03;s4b-cedarcart-order-04;s4b-bank-statement-feb,540b62d4-4203-5932-9b2e-f96172d1d46a;c28c9803-23e5-5b62-a505-d42ba3e5d610;8256b66b-139c-5d7a-9b26-3deb9df83ded,"{""s4b-bank-statement-feb"": [2], ""s4b-cedarcart-order-03"": [1], ""s4b-cedarcart-order-04"": [1]}",,Owner,Full,,,0,2,HUMAN_VALIDATED,HR-S4-002,True,True,True,True,True,PASS,
