Configuration,expected_output_class,actual_output_class,count
C0,FULL_ANSWER,AGGREGATE_RESULT,0
C0,FULL_ANSWER,CLARIFICATION,0
C0,FULL_ANSWER,CONSTRAINED_ANSWER,0
C0,FULL_ANSWER,FULL_ANSWER,87
C0,FULL_ANSWER,REFUSE_AGGREGATION_THRESHOLD,0
C0,FULL_ANSWER,REFUSE_INSUFFICIENT_EVIDENCE,0
C0,AGGREGATE_RESULT,AGGREGATE_RESULT,0
C0,AGGREGATE_RESULT,CLARIFICATION,0
C0,AGGREGATE_RESULT,CONSTRAINED_ANSWER,0
C0,AGGREGATE_RESULT,FULL_ANSWER,15
C0,AGGREGATE_RESULT,REFUSE_AGGREGATION_THRESHOLD,0
C0,AGGREGATE_RESULT,REFUSE_INSUFFICIENT_EVIDENCE,0
C0,CONSTRAINED_ANSWER,AGGREGATE_RESULT,0
C0,CONSTRAINED_ANSWER,CLARIFICATION,0
C0,CONSTRAINED_ANSWER,CONSTRAINED_ANSWER,0
C0,CONSTRAINED_ANSWER,FULL_ANSWER,9
C0,CONSTRAINED_ANSWER,REFUSE_AGGREGATION_THRESHOLD,0
C0,CONSTRAINED_ANSWER,REFUSE_INSUFFICIENT_EVIDENCE,0
C0,REFUSE_INSUFFICIENT_EVIDENCE,AGGREGATE_RESULT,0
C0,REFUSE_INSUFFICIENT_EVIDENCE,CLARIFICATION,0
C0,REFUSE_INSUFFICIENT_EVIDENCE,CONSTRAINED_ANSWER,0
C0,REFUSE_INSUFFICIENT_EVIDENCE,FULL_ANSWER,9
C0,REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_AGGREGATION_THRESHOLD,0
C0,REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_INSUFFICIENT_EVIDENCE,0
C0,REFUSE_AGGREGATION_THRESHOLD,AGGREGATE_RESULT,0
C0,REFUSE_AGGREGATION_THRESHOLD,CLARIFICATION,0
C0,REFUSE_AGGREGATION_THRESHOLD,CONSTRAINED_ANSWER,0
C0,REFUSE_AGGREGATION_THRESHOLD,FULL_ANSWER,3
C0,REFUSE_AGGREGATION_THRESHOLD,REFUSE_AGGREGATION_THRESHOLD,0
C0,REFUSE_AGGREGATION_THRESHOLD,REFUSE_INSUFFICIENT_EVIDENCE,0
C0,CLARIFICATION,AGGREGATE_RESULT,0
C0,CLARIFICATION,CLARIFICATION,0
C0,CLARIFICATION,CONSTRAINED_ANSWER,0
C0,CLARIFICATION,FULL_ANSWER,3
C0,CLARIFICATION,REFUSE_AGGREGATION_THRESHOLD,0
C0,CLARIFICATION,REFUSE_INSUFFICIENT_EVIDENCE,0
C1,FULL_ANSWER,AGGREGATE_RESULT,0
C1,FULL_ANSWER,CLARIFICATION,0
C1,FULL_ANSWER,CONSTRAINED_ANSWER,0
C1,FULL_ANSWER,FULL_ANSWER,87
C1,FULL_ANSWER,REFUSE_AGGREGATION_THRESHOLD,0
C1,FULL_ANSWER,REFUSE_INSUFFICIENT_EVIDENCE,0
C1,AGGREGATE_RESULT,AGGREGATE_RESULT,0
C1,AGGREGATE_RESULT,CLARIFICATION,0
C1,AGGREGATE_RESULT,CONSTRAINED_ANSWER,0
C1,AGGREGATE_RESULT,FULL_ANSWER,15
C1,AGGREGATE_RESULT,REFUSE_AGGREGATION_THRESHOLD,0
C1,AGGREGATE_RESULT,REFUSE_INSUFFICIENT_EVIDENCE,0
C1,CONSTRAINED_ANSWER,AGGREGATE_RESULT,0
C1,CONSTRAINED_ANSWER,CLARIFICATION,0
C1,CONSTRAINED_ANSWER,CONSTRAINED_ANSWER,0
C1,CONSTRAINED_ANSWER,FULL_ANSWER,9
C1,CONSTRAINED_ANSWER,REFUSE_AGGREGATION_THRESHOLD,0
C1,CONSTRAINED_ANSWER,REFUSE_INSUFFICIENT_EVIDENCE,0
C1,REFUSE_INSUFFICIENT_EVIDENCE,AGGREGATE_RESULT,0
C1,REFUSE_INSUFFICIENT_EVIDENCE,CLARIFICATION,0
C1,REFUSE_INSUFFICIENT_EVIDENCE,CONSTRAINED_ANSWER,0
C1,REFUSE_INSUFFICIENT_EVIDENCE,FULL_ANSWER,9
C1,REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_AGGREGATION_THRESHOLD,0
C1,REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_INSUFFICIENT_EVIDENCE,0
C1,REFUSE_AGGREGATION_THRESHOLD,AGGREGATE_RESULT,0
C1,REFUSE_AGGREGATION_THRESHOLD,CLARIFICATION,0
C1,REFUSE_AGGREGATION_THRESHOLD,CONSTRAINED_ANSWER,0
C1,REFUSE_AGGREGATION_THRESHOLD,FULL_ANSWER,3
C1,REFUSE_AGGREGATION_THRESHOLD,REFUSE_AGGREGATION_THRESHOLD,0
C1,REFUSE_AGGREGATION_THRESHOLD,REFUSE_INSUFFICIENT_EVIDENCE,0
C1,CLARIFICATION,AGGREGATE_RESULT,0
C1,CLARIFICATION,CLARIFICATION,0
C1,CLARIFICATION,CONSTRAINED_ANSWER,0
C1,CLARIFICATION,FULL_ANSWER,3
C1,CLARIFICATION,REFUSE_AGGREGATION_THRESHOLD,0
C1,CLARIFICATION,REFUSE_INSUFFICIENT_EVIDENCE,0
C2,FULL_ANSWER,AGGREGATE_RESULT,0
C2,FULL_ANSWER,CLARIFICATION,0
C2,FULL_ANSWER,CONSTRAINED_ANSWER,0
C2,FULL_ANSWER,FULL_ANSWER,72
C2,FULL_ANSWER,REFUSE_AGGREGATION_THRESHOLD,0
C2,FULL_ANSWER,REFUSE_INSUFFICIENT_EVIDENCE,15
C2,AGGREGATE_RESULT,AGGREGATE_RESULT,15
C2,AGGREGATE_RESULT,CLARIFICATION,0
C2,AGGREGATE_RESULT,CONSTRAINED_ANSWER,0
C2,AGGREGATE_RESULT,FULL_ANSWER,0
C2,AGGREGATE_RESULT,REFUSE_AGGREGATION_THRESHOLD,0
C2,AGGREGATE_RESULT,REFUSE_INSUFFICIENT_EVIDENCE,0
C2,CONSTRAINED_ANSWER,AGGREGATE_RESULT,0
C2,CONSTRAINED_ANSWER,CLARIFICATION,0
C2,CONSTRAINED_ANSWER,CONSTRAINED_ANSWER,0
C2,CONSTRAINED_ANSWER,FULL_ANSWER,9
C2,CONSTRAINED_ANSWER,REFUSE_AGGREGATION_THRESHOLD,0
C2,CONSTRAINED_ANSWER,REFUSE_INSUFFICIENT_EVIDENCE,0
C2,REFUSE_INSUFFICIENT_EVIDENCE,AGGREGATE_RESULT,0
C2,REFUSE_INSUFFICIENT_EVIDENCE,CLARIFICATION,0
C2,REFUSE_INSUFFICIENT_EVIDENCE,CONSTRAINED_ANSWER,0
C2,REFUSE_INSUFFICIENT_EVIDENCE,FULL_ANSWER,6
C2,REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_AGGREGATION_THRESHOLD,0
C2,REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_INSUFFICIENT_EVIDENCE,3
C2,REFUSE_AGGREGATION_THRESHOLD,AGGREGATE_RESULT,0
C2,REFUSE_AGGREGATION_THRESHOLD,CLARIFICATION,0
C2,REFUSE_AGGREGATION_THRESHOLD,CONSTRAINED_ANSWER,0
C2,REFUSE_AGGREGATION_THRESHOLD,FULL_ANSWER,0
C2,REFUSE_AGGREGATION_THRESHOLD,REFUSE_AGGREGATION_THRESHOLD,3
C2,REFUSE_AGGREGATION_THRESHOLD,REFUSE_INSUFFICIENT_EVIDENCE,0
C2,CLARIFICATION,AGGREGATE_RESULT,0
C2,CLARIFICATION,CLARIFICATION,0
C2,CLARIFICATION,CONSTRAINED_ANSWER,0
C2,CLARIFICATION,FULL_ANSWER,0
C2,CLARIFICATION,REFUSE_AGGREGATION_THRESHOLD,0
C2,CLARIFICATION,REFUSE_INSUFFICIENT_EVIDENCE,3
C3,FULL_ANSWER,AGGREGATE_RESULT,0
C3,FULL_ANSWER,CLARIFICATION,0
C3,FULL_ANSWER,CONSTRAINED_ANSWER,3
C3,FULL_ANSWER,FULL_ANSWER,66
C3,FULL_ANSWER,REFUSE_AGGREGATION_THRESHOLD,0
C3,FULL_ANSWER,REFUSE_INSUFFICIENT_EVIDENCE,18
C3,AGGREGATE_RESULT,AGGREGATE_RESULT,15
C3,AGGREGATE_RESULT,CLARIFICATION,0
C3,AGGREGATE_RESULT,CONSTRAINED_ANSWER,0
C3,AGGREGATE_RESULT,FULL_ANSWER,0
C3,AGGREGATE_RESULT,REFUSE_AGGREGATION_THRESHOLD,0
C3,AGGREGATE_RESULT,REFUSE_INSUFFICIENT_EVIDENCE,0
C3,CONSTRAINED_ANSWER,AGGREGATE_RESULT,0
C3,CONSTRAINED_ANSWER,CLARIFICATION,3
C3,CONSTRAINED_ANSWER,CONSTRAINED_ANSWER,0
C3,CONSTRAINED_ANSWER,FULL_ANSWER,6
C3,CONSTRAINED_ANSWER,REFUSE_AGGREGATION_THRESHOLD,0
C3,CONSTRAINED_ANSWER,REFUSE_INSUFFICIENT_EVIDENCE,0
C3,REFUSE_INSUFFICIENT_EVIDENCE,AGGREGATE_RESULT,0
C3,REFUSE_INSUFFICIENT_EVIDENCE,CLARIFICATION,0
C3,REFUSE_INSUFFICIENT_EVIDENCE,CONSTRAINED_ANSWER,0
C3,REFUSE_INSUFFICIENT_EVIDENCE,FULL_ANSWER,6
C3,REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_AGGREGATION_THRESHOLD,0
C3,REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_INSUFFICIENT_EVIDENCE,3
C3,REFUSE_AGGREGATION_THRESHOLD,AGGREGATE_RESULT,0
C3,REFUSE_AGGREGATION_THRESHOLD,CLARIFICATION,0
C3,REFUSE_AGGREGATION_THRESHOLD,CONSTRAINED_ANSWER,0
C3,REFUSE_AGGREGATION_THRESHOLD,FULL_ANSWER,0
C3,REFUSE_AGGREGATION_THRESHOLD,REFUSE_AGGREGATION_THRESHOLD,3
C3,REFUSE_AGGREGATION_THRESHOLD,REFUSE_INSUFFICIENT_EVIDENCE,0
C3,CLARIFICATION,AGGREGATE_RESULT,0
C3,CLARIFICATION,CLARIFICATION,0
C3,CLARIFICATION,CONSTRAINED_ANSWER,0
C3,CLARIFICATION,FULL_ANSWER,0
C3,CLARIFICATION,REFUSE_AGGREGATION_THRESHOLD,0
C3,CLARIFICATION,REFUSE_INSUFFICIENT_EVIDENCE,3
P1,FULL_ANSWER,AGGREGATE_RESULT,3
P1,FULL_ANSWER,CLARIFICATION,3
P1,FULL_ANSWER,CONSTRAINED_ANSWER,0
P1,FULL_ANSWER,FULL_ANSWER,74
P1,FULL_ANSWER,REFUSE_AGGREGATION_THRESHOLD,0
