path,category,stage,reason,status_scope
.gitattributes,D,YES,repo metadata preserving literal freeze patch whitespace for staged diff validation,tracked-or-untracked
backend_python/aggregate_executor.py,A,YES,approved S3-S6 source or test integration change,tracked-or-untracked
backend_python/tests/test_aggregate_executor.py,A,YES,approved S3-S6 source or test integration change,tracked-or-untracked
evaluation/actual_pipeline_inputs.py,A,YES,approved S3-S6 source or test integration change,tracked-or-untracked
evaluation/actual_pipeline_runner.py,A,YES,approved S3-S6 source or test integration change,tracked-or-untracked
evaluation/external_scenario_corpus.py,A,YES,approved S3-S6 source or test integration change,tracked-or-untracked
evaluation/scenario_pack.py,A,YES,approved S3-S6 source or test integration change,tracked-or-untracked
evaluation/tests/test_actual_pipeline.py,A,YES,approved S3-S6 source or test integration change,tracked-or-untracked
evaluation/tests/test_external_scenario_corpus.py,A,YES,approved S3-S6 source or test integration change,tracked-or-untracked
evaluation/tests/test_scenario_pack.py,A,YES,approved S3-S6 source or test integration change,tracked-or-untracked
scripts/bind_external_scenario_package.py,A,YES,approved S3-S6 source or test integration change,tracked-or-untracked
docs/integration/HUMAN_CONFIRMATION_DECISIONS_S3_S6_AGGREGATE_FINAL.md,B,YES,canonical S3-S6 integration/freeze documentation,tracked-or-untracked
docs/integration/S3_S6_AGGREGATE_HUMAN_CONFIRMATION_ORDER.md,B,YES,canonical S3-S6 integration/freeze documentation,tracked-or-untracked
docs/integration/S3_S6_AGGREGATE_HUMAN_CONFIRMATION_PACKET_V1.md,B,YES,canonical S3-S6 integration/freeze documentation,tracked-or-untracked
docs/integration/S3_S6_EVALUATION_REPRODUCE.md,B,YES,canonical S3-S6 integration/freeze documentation,tracked-or-untracked
docs/integration/S3_S6_FREEZE_CODE_STATE.json,B,YES,canonical S3-S6 integration/freeze documentation,tracked-or-untracked
docs/integration/S3_S6_FREEZE_NOTES_V1.md,B,YES,canonical S3-S6 integration/freeze documentation,tracked-or-untracked
docs/integration/S3_S6_MARIADB_COMPATIBILITY_REPORT.md,B,YES,canonical S3-S6 integration/freeze documentation,tracked-or-untracked
artifacts/s3_s6_freeze/S3_S6_journal_evaluation_v1.zip,C,YES,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact",tracked-or-untracked
artifacts/s3_s6_freeze/S3_S6_journal_evaluation_v1.zip.sha256,C,YES,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact",tracked-or-untracked
artifacts/s3_s6_freeze/S3_S6_FREEZE_INPUT_CONTINUITY.json,C,YES,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact",tracked-or-untracked
artifacts/s3_s6_freeze/S3_S6_FREEZE_PACKAGE_VALIDATION.json,C,YES,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact",tracked-or-untracked
artifacts/s3_s6_freeze/S3_S6_FREEZE_FINAL_VALIDATION.json,C,YES,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact",tracked-or-untracked
artifacts/s3_s6_freeze/S3_S6_FREEZE_FINAL_REPORT.json,C,YES,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact",tracked-or-untracked
artifacts/s3_s6_freeze/s3_s6_freeze_working_tree.patch,C,YES,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact",tracked-or-untracked
artifacts/s3_s6_candidate_integration/author_decision_consistency_audit.csv,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/author_decision_consistency_audit.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/reference_annotation_validation.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/policy_variant_validation.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/human_confirmation/S3_S6_AGGREGATE_HUMAN_CONFIRMATION_PACKET_V1.zip,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/human_confirmation/SOURCE_EVIDENCE_MANIFEST.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/human_confirmation/PACKET_VALIDATION.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/human_confirmation/README.md,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/human_confirmation/aggregate_human_confirmation_cases.csv,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/human_confirmation/aggregate_human_confirmation_cases.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/human_confirmation/aggregate_human_confirmation_execution_evidence.csv,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/human_confirmation/FINAL_AUTHOR_CONFIRMATION_AUDIT.csv,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/human_confirmation/FINAL_AUTHOR_CONFIRMATION_AUDIT.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/focused_mariadb_assessment.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/full_mariadb_public_summary.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/focused_sqlite_vs_mariadb.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/full_sqlite_vs_mariadb.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/full_sqlite_vs_mariadb.csv,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/database_row_counts.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/schema_validation.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/source_mutation_check.json,D,YES,"compact validation, MariaDB, or human-confirmation evidence",tracked-or-untracked
artifacts/s3_s6_freeze/git_finalization/PRE_COMMIT_WORKTREE_AUDIT.json,D,YES,compact git-finalization audit evidence,tracked-or-untracked
artifacts/s3_s6_freeze/git_finalization/WORKTREE_CLASSIFICATION.csv,D,YES,compact git-finalization audit evidence,tracked-or-untracked
artifacts/s3_s6_freeze/git_finalization/STAGING_PLAN.json,D,YES,compact git-finalization audit evidence,tracked-or-untracked
artifacts/s3_s6_freeze/git_finalization/PRE_COMMIT_VALIDATION.json,D,YES,compact git-finalization audit evidence,tracked-or-untracked
artifacts/s3_s6_freeze/git_finalization/HUMAN_CONFIRMATION_SOURCE_PACKET_CHECKSUM_AUDIT.json,D,YES,compact git-finalization audit evidence,tracked-or-untracked
